t_ms,vm_soma_mV,vm_far_mV
2.75,-7.067715289,23.39228786
2.76,-7.554697606,22.92846078
2.77,-8.04019696,22.46105483
2.78,-8.524201147,21.99023589
2.79,-9.006699324,21.51616666
2.8,-9.487681951,21.03900674
2.81,-9.967140777,20.55891254
2.82,-10.44506879,20.07603726
2.83,-10.92146017,19.59053085
2.84,-11.39631027,19.10254005
2.85,-11.86961559,18.6122083
2.86,-12.34137372,18.11967576
2.87,-12.81158334,17.62507928
2.88,-13.28024417,17.12855244
2.89,-13.74735696,16.63022546
2.9,-14.21292344,16.13022531
2.91,-14.67694638,15.6286756
2.92,-15.13942948,15.12569667
2.93,-15.60037739,14.62140558
2.94,-16.0597957,14.11591609
2.95,-16.51769095,13.60933873
2.96,-16.9740706,13.10178079
2.97,-17.42894302,12.59334633
2.98,-17.8823175,12.08413624
2.99,-18.33420426,11.57424825
3,-18.78461442,11.06377697
3.01,-19.23356005,10.5528139
3.02,-19.68105415,10.04144751
3.03,-20.12711069,9.529763233
3.04,-20.5717446,9.017843527
3.05,-21.01497178,8.505767913
3.06,-21.45680917,7.99361302
3.07,-21.8972747,7.481452623
3.08,-22.3363874,6.969357687
3.09,-22.7741674,6.457396421
3.1,-23.21063594,5.945634326
3.11,-23.64581542,5.434134235
3.12,-24.07972942,4.92295636
3.13,-24.51240281,4.412158352
3.14,-24.94386171,3.901795345
3.15,-25.37413359,3.391920012
3.16,-25.80324732,2.882582599
3.17,-26.23123317,2.373830988
3.18,-26.65812293,1.865710748
3.19,-27.08394993,1.358265183
3.2,-27.50874911,0.8515353861
3.21,-27.93255706,0.3455602831
3.22,-28.35541212,-0.1596233202
3.23,-28.77735438,-0.6639806839
3.24,-29.19842585,-1.167479085
3.25,-29.61867038,-1.670087769
3.26,-30.03813387,-2.171777905
3.27,-30.45686423,-2.672522539
3.28,-30.8749115,-3.172296545
3.29,-31.29232792,-3.671076584
3.3,-31.70916793,-4.168841059
3.31,-32.1254883,-4.665570073
3.32,-32.54134821,-5.161245386
3.33,-32.95680921,-5.655850376
3.34,-33.37193539,-6.14937
3.35,-33.78679337,-6.641790755
3.36,-34.20145238,-7.133100652
3.37,-34.61598427,-7.623289171
3.38,-35.03046366,-8.112347225
3.39,-35.44496786,-8.600267138
3.4,-35.85957695,-9.087042605
3.41,-36.27437383,-9.572668696
3.42,-36.68944426,-10.0571418
3.43,-37.10487681,-10.54045959
3.44,-37.52076288,-11.02262107
3.45,-37.93719681,-11.50362647
3.46,-38.35427571,-11.98347729
3.47,-38.7720995,-12.46217627
3.48,-39.19077096,-12.9397274
3.49,-39.61039554,-13.41613586
3.5,-40.03108138,-13.89140809
3.51,-40.45293922,-14.36555173
3.52,-40.87608223,-14.83857565
3.53,-41.30062605,-15.31048996
3.54,-41.72668841,-15.781306
3.55,-42.15438924,-16.25103641
3.56,-42.58385019,-16.71969505
3.57,-43.01519464,-17.18729713
3.58,-43.44854728,-17.65385917
3.59,-43.88403383,-18.11939906
3.6,-44.32178083,-18.58393609
3.61,-44.76191514,-19.04749099
3.62,-45.2045635,-19.51008596
3.63,-45.64985209,-19.97174479
3.64,-46.097906,-20.43249284
3.65,-46.54884868,-20.89235714
3.66,-47.00280119,-21.35136645
3.67,-47.45988154,-21.80955133
3.68,-47.92020387,-22.26694427
3.69,-48.38387755,-22.72357972
3.7,-48.85100619,-23.17949422
3.71,-49.32168658,-23.63472647
3.72,-49.79600772,-24.08931746
3.73,-50.27404935,-24.54331059
3.74,-50.75588081,-24.99675177
3.75,-51.24155948,-25.44968959
3.76,-51.73112931,-25.90217539
3.77,-52.22461935,-26.35426351
3.78,-52.72204179,-26.80601132
3.79,-53.22339022,-27.25747948
3.8,-53.72863773,-27.70873203
3.81,-54.23773502,-28.15983662
3.82,-54.75060837,-28.61086464
3.83,-55.26715757,-29.06189146
3.84,-55.78725409,-29.51299661
3.85,-56.31073877,-29.96426394
3.86,-56.83741994,-30.41578191
3.87,-57.36707152,-30.86764373
3.88,-57.89943123,-31.31994764
3.89,-58.43419888,-31.77279711
3.9,-58.9710352,-32.2263011
3.91,-59.50956051,-32.68057426
3.92,-60.04935402,-33.13573723
3.93,-60.58995334,-33.59191683
3.94,-61.13085498,-34.04924637
3.95,-61.67151452,-34.50786585
3.96,-62.21134795,-34.96792229
3.97,-62.74973346,-35.42956996
3.98,-63.28601398,-35.89297057
3.99,-63.81950046,-36.35829355
4,-64.34947565,-36.82571635
4.01,-64.87519879,-37.29542463
4.02,-65.39591103,-37.76761243
4.03,-65.91084131,-38.24248246
4.04,-66.41921302,-38.7202462
4.05,-66.92025103,-39.20112421
4.06,-67.41318913,-39.68534604
4.07,-67.89727772,-40.17315043
4.08,-68.37179154,-40.66478524
4.09,-68.83603742,-41.16050743
4.1,-69.28936165,-41.66058298
4.11,-69.73115692,-42.1652868
4.12,-70.16086879,-42.67490239
4.13,-70.57800117,-43.18972148
4.14,-70.98212119,-43.71004349
4.15,-71.37286275,-44.2361749
4.16,-71.74992926,-44.76842847
4.17,-72.11309505,-45.30712215
4.18,-72.46220581,-45.85257783
4.19,-72.79717777,-46.4051199
4.2,-73.11799593,-46.96507358
4.21,-73.42471132,-47.53276273
4.22,-73.71743732,-48.10850744
4.23,-73.99634543,-48.69262127
4.24,-74.26166029,-49.28540804
4.25,-74.51365441,-49.88715817
4.26,-74.75264254,-50.49814445
4.27,-74.97897592,-51.1186173
4.28,-75.19303655,-51.74879971
4.29,-75.3952315,-52.38888106
4.3,-75.58598751,-53.03901089
4.31,-75.76574579,-53.69929165
4.32,-75.93495723,-54.36977097
4.33,-76.09407801,-55.0504335
4.34,-76.24356558,-55.74119175
4.35,-76.38387516,-56.44187708
4.36,-76.5154566,-57.15222979
4.37,-76.63875177,-57.87188933
4.38,-76.75419231,-58.60038452
4.39,-76.86219775,-59.33712373
4.4,-76.9631741,-60.0813861
4.41,-77.05751269,-60.83231323
4.42,-77.1455893,-61.58890249
4.43,-77.22776364,-62.35000207
4.44,-77.30437903,-63.11430837
4.45,-77.37576222,-63.88036641
4.46,-77.44222349,-64.64657321
4.47,-77.50405681,-65.41118533
4.48,-77.56154017,-66.17233084
4.49,-77.61493599,-66.92802546
4.5,-77.66449158,-67.67619372
4.51,-77.71043971,-68.41469463
4.52,-77.75299916,-69.1413517
4.53,-77.79237537,-69.85398664
4.54,-77.82876102,-70.55045587
4.55,-77.86233672,-71.22868878
4.56,-77.89327159,-71.88672631
4.57,-77.9217239,-72.52275814
4.58,-77.94784171,-73.13515741
4.59,-77.97176344,-73.72251101
4.6,-77.99361847,-74.28364431
4.61,-78.01352767,-74.8176392
4.62,-78.03160396,-75.32384478
4.63,-78.04795282,-75.80188034
4.64,-78.06267275,-76.25163077
4.65,-78.07585578,-76.67323511
4.66,-78.08758786,-77.06706883
4.67,-78.09794931,-77.43372112
4.68,-78.10701519,-77.77396863
4.69,-78.11485569,-78.08874676
4.7,-78.12153647,-78.37912002
4.71,-78.12711898,-78.64625246
4.72,-78.13166076,-78.89137938
4.73,-78.13521574,-79.11578096
4.74,-78.13783452,-79.32075846
4.75,-78.13956458,-79.50761339
4.76,-78.14045053,-79.67762972
4.77,-78.14053435,-79.83205924
4.78,-78.13985554,-79.97210991
4.79,-78.13845133,-80.09893702
4.8,-78.13635686,-80.21363676
4.81,-78.13360531,-80.3172421
4.82,-78.13022806,-80.41072051
4.83,-78.12625479,-80.49497319
4.84,-78.12171363,-80.57083562
4.85,-78.11663127,-80.6390791
4.86,-78.11103304,-80.70041305
4.87,-78.10494298,-80.75548779
4.88,-78.09838397,-80.80489777
4.89,-78.09137776,-80.84918501
4.9,-78.08394508,-80.88884262
4.91,-78.07610563,-80.92431834
4.92,-78.06787823,-80.95601804
4.93,-78.05928078,-80.98430912
4.94,-78.05033035,-81.00952376
4.95,-78.04104323,-81.03196193
4.96,-78.03143495,-81.05189434
4.97,-78.0215203,-81.06956509
4.98,-78.01131341,-81.08519416
4.99,-78.00082773,-81.09897969
