t_ms,vm_soma_mV,vm_far_mV
4.23750,-59.028784,-29.961935
4.25000,-59.881786,-30.573320
4.26250,-60.734282,-31.189280
4.27500,-61.583956,-31.810260
4.28750,-62.428335,-32.436745
4.30000,-63.264807,-33.069262
4.31250,-64.090662,-33.708345
4.32500,-64.903130,-34.354608
4.33750,-65.699414,-35.008680
4.35000,-66.476754,-35.671210
4.36250,-67.232527,-36.342943
4.37500,-67.964295,-37.024629
4.38750,-68.669852,-37.717054
4.40000,-69.347237,-38.421086
4.41250,-69.994845,-39.137613
4.42500,-70.611433,-39.867561
4.43750,-71.196090,-40.611911
4.45000,-71.748311,-41.371684
4.46250,-72.267942,-42.147923
4.47500,-72.755178,-42.941701
4.48750,-73.210524,-43.754117
4.50000,-73.634761,-44.586274
4.51250,-74.028899,-45.439266
4.52500,-74.394141,-46.314167
4.53750,-74.731823,-47.212004
4.55000,-75.043385,-48.133730
4.56250,-75.330333,-49.080196
4.57500,-75.594194,-50.052103
4.58750,-75.836494,-51.049964
4.60000,-76.058737,-52.074047
4.61250,-76.262379,-53.124317
4.62500,-76.448817,-54.200372
4.63750,-76.619380,-55.301375
4.65000,-76.775319,-56.425987
4.66250,-76.917809,-57.572278
4.67500,-77.047943,-58.737678
4.68750,-77.166733,-59.918921
4.70000,-77.275115,-61.112004
4.71250,-77.373948,-62.312117
4.72500,-77.464022,-63.513681
4.73750,-77.546060,-64.710429
4.75000,-77.620724,-65.895509
4.76250,-77.688616,-67.061640
4.77500,-77.750286,-68.201286
4.78750,-77.806234,-69.306906
4.80000,-77.856917,-70.371281
4.81250,-77.902751,-71.387787
4.82500,-77.944111,-72.350659
4.83750,-77.981343,-73.255227
4.85000,-78.014758,-74.098085
4.86250,-78.044643,-74.877178
4.87500,-78.071255,-75.591795
4.88750,-78.094831,-76.242491
4.90000,-78.115586,-76.830972
4.91250,-78.133718,-77.359881
4.92500,-78.149407,-77.832575
4.93750,-78.162815,-78.252928
4.95000,-78.174095,-78.625101
4.96250,-78.183384,-78.953380
4.97500,-78.190811,-79.242023
4.98750,-78.196491,-79.495138
5.00000,-78.200533,-79.716613
5.01250,-78.203038,-79.910058
5.02500,-78.204097,-80.078782
5.03750,-78.203799,-80.225776
5.05000,-78.202222,-80.353722
5.06250,-78.199443,-80.465004
5.07500,-78.195531,-80.561732
5.08750,-78.190553,-80.645759
5.10000,-78.184570,-80.718711
5.11250,-78.177641,-80.782007
5.12500,-78.169819,-80.836882
5.13750,-78.161158,-80.884413
5.15000,-78.151704,-80.925535
5.16250,-78.141505,-80.961060
5.17500,-78.130602,-80.991694
5.18750,-78.119037,-81.018048
5.20000,-78.106849,-81.040654
5.21250,-78.094073,-81.059975
5.22500,-78.080743,-81.076411
5.23750,-78.066891,-81.090313
5.25000,-78.052548,-81.101985
5.26250,-78.037741,-81.111691
5.27500,-78.022498,-81.119663
5.28750,-78.006843,-81.126104
5.30000,-77.990800,-81.131188
5.31250,-77.974391,-81.135071
5.32500,-77.957636,-81.137888
5.33750,-77.940554,-81.139757
5.35000,-77.923164,-81.140782
5.36250,-77.905483,-81.141054
5.37500,-77.887525,-81.140654
5.38750,-77.869306,-81.139652
5.40000,-77.850839,-81.138111
5.41250,-77.832137,-81.136084
5.42500,-77.813212,-81.133621
5.43750,-77.794075,-81.130765
5.45000,-77.774736,-81.127552
5.46250,-77.755205,-81.124017
5.47500,-77.735490,-81.120189
5.48750,-77.715599,-81.116094
5.50000,-77.695541,-81.111756
5.51250,-77.675323,-81.107195
5.52500,-77.654950,-81.102429
5.53750,-77.634430,-81.097475
5.55000,-77.613767,-81.092347
5.56250,-77.592967,-81.087058
5.57500,-77.572035,-81.081620
5.58750,-77.550976,-81.076042
5.60000,-77.529793,-81.070335
5.61250,-77.508490,-81.064505
5.62500,-77.487072,-81.058561
5.63750,-77.465541,-81.052508
5.65000,-77.443900,-81.046353
5.66250,-77.422153,-81.040100
5.67500,-77.400301,-81.033754
5.68750,-77.378348,-81.027320
5.70000,-77.356296,-81.020801
5.71250,-77.334147,-81.014199
5.72500,-77.311902,-81.007519
5.73750,-77.289565,-81.000763
5.75000,-77.267135,-80.993932
5.76250,-77.244616,-80.987030
5.77500,-77.222007,-80.980058
5.78750,-77.199312,-80.973017
5.80000,-77.176531,-80.965909
5.81250,-77.153665,-80.958736
5.82500,-77.130715,-80.951498
5.83750,-77.107682,-80.944196
5.85000,-77.084568,-80.936832
5.86250,-77.061373,-80.929406
5.87500,-77.038098,-80.921919
5.88750,-77.014744,-80.914371
5.90000,-76.991312,-80.906763
5.91250,-76.967801,-80.899096
5.92500,-76.944214,-80.891369
5.93750,-76.920550,-80.883583
5.95000,-76.896810,-80.875739
5.96250,-76.872995,-80.867836
5.97500,-76.849105,-80.859875
5.98750,-76.825141,-80.851856
6.00000,-76.801103,-80.843779
6.01250,-76.776991,-80.835645
6.02500,-76.752806,-80.827452
6.03750,-76.728549,-80.819201
6.05000,-76.704219,-80.810893
6.06250,-76.679818,-80.802526
6.07500,-76.655344,-80.794102
6.08750,-76.630800,-80.785620
6.10000,-76.606185,-80.777079
6.11250,-76.581499,-80.768480
6.12500,-76.556743,-80.759824
6.13750,-76.531916,-80.751108
6.15000,-76.507020,-80.742334
6.16250,-76.482055,-80.733502
6.17500,-76.457020,-80.724610
6.18750,-76.431916,-80.715660
6.20000,-76.406744,-80.706650
6.21250,-76.381503,-80.697581
6.22500,-76.356194,-80.688452
6.23750,-76.330816,-80.679264
6.25000,-76.305371,-80.670015
6.26250,-76.279859,-80.660707
6.27500,-76.254279,-80.651338
6.28750,-76.228632,-80.641909
6.30000,-76.202918,-80.632419
6.31250,-76.177137,-80.622867
6.32500,-76.151290,-80.613255
6.33750,-76.125376,-80.603581
6.35000,-76.099397,-80.593846
6.36250,-76.073351,-80.584049
6.37500,-76.047240,-80.574190
6.38750,-76.021063,-80.564268
6.40000,-75.994822,-80.554284
6.41250,-75.968515,-80.544238
6.42500,-75.942143,-80.534128
6.43750,-75.915707,-80.523955
6.45000,-75.889206,-80.513719
6.46250,-75.862641,-80.503419
6.47500,-75.836012,-80.493055
6.48750,-75.809319,-80.482627
6.50000,-75.782563,-80.472135
6.51250,-75.755743,-80.461578
6.52500,-75.728860,-80.450957
6.53750,-75.701914,-80.440270
6.55000,-75.674906,-80.429518
6.56250,-75.647835,-80.418701
6.57500,-75.620701,-80.407819
6.58750,-75.593506,-80.396870
6.60000,-75.566248,-80.385855
6.61250,-75.538929,-80.374774
6.62500,-75.511548,-80.363627
6.63750,-75.484107,-80.352412
6.65000,-75.456604,-80.341131
6.66250,-75.429040,-80.329783
6.67500,-75.401416,-80.318367
6.68750,-75.373732,-80.306883
6.70000,-75.345987,-80.295332
6.71250,-75.318183,-80.283713
6.72500,-75.290318,-80.272025
6.73750,-75.262395,-80.260270
6.75000,-75.234412,-80.248445
