t_ms,vm_soma_mV,vm_far_mV
2.39,11.20302587,35.96648972
2.4,10.68658376,35.79037121
2.41,10.16982139,35.59722995
2.42,9.652839468,35.38860831
2.43,9.135727899,35.16576013
2.44,8.618578679,34.92970262
2.45,8.101482348,34.68127987
2.46,7.584530347,34.42119791
2.47,7.067800331,34.15006732
2.48,6.551368253,33.86840234
2.49,6.035316399,33.57665582
2.5,5.519708914,33.27523637
2.51,5.004615908,32.96451562
2.52,4.490111493,32.64482784
2.53,3.976252766,32.31647643
2.54,3.463103728,31.9797599
2.55,2.950720827,31.63495349
2.56,2.439159286,31.28231551
2.57,1.928478567,30.92210112
2.58,1.41872441,30.5545501
2.59,0.9099429915,30.17989865
2.6,0.4021824193,29.7983742
2.61,-0.1045088307,29.4101956
2.62,-0.6100992144,29.0155827
2.63,-1.11454196,28.61474859
2.64,-1.617807123,28.20790865
2.65,-2.119860186,27.7952649
2.66,-2.620673454,27.37701694
2.67,-3.120210134,26.95336808
2.68,-3.618441282,26.52450604
2.69,-4.115338865,26.09063508
2.7,-4.61088262,25.65193504
2.71,-5.105047712,25.20860066
2.72,-5.597808578,24.76081042
2.73,-6.089148014,24.30874589
2.74,-6.579049907,23.85259139
2.75,-7.067500603,23.3925119
2.76,-7.55448603,22.92868575
2.77,-8.039989944,22.46127912
2.78,-8.523997138,21.99046431
2.79,-9.006498265,21.51639629
2.8,-9.487479694,21.03924106
2.81,-9.966938601,20.55914914
2.82,-10.4448625,20.07627652
2.83,-10.92125183,19.59077636
2.84,-11.39609909,19.10278689
2.85,-11.86940335,18.61245609
2.86,-12.34116141,18.11992141
2.87,-12.81137193,17.62532668
2.88,-13.28003227,17.12879871
2.89,-13.74714352,16.63046826
2.9,-14.21271442,16.13046483
2.91,-14.67674361,15.62891614
2.92,-15.13923362,15.12594059
2.93,-15.60018891,14.62165199
2.94,-16.05960997,14.11616455
2.95,-16.51750581,13.60958699
2.96,-16.97388358,13.10203175
2.97,-17.42875932,12.5935995
2.98,-17.88213591,12.08439122
2.99,-18.3340265,11.57450302
3,-18.78443625,11.06403053
3.01,-19.23338471,10.55306789
3.02,-19.68088172,10.04170331
3.03,-20.12693936,9.530020023
3.04,-20.57157219,9.018099487
3.05,-21.01479668,8.50602233
3.06,-21.45663294,7.993870468
3.07,-21.89709843,7.481711798
3.08,-22.33620884,6.969618113
3.09,-22.77398934,6.45765711
3.1,-23.2104567,5.945896461
3.11,-23.6456388,5.434392227
3.12,-24.079553,4.923213786
3.13,-24.51222729,4.412414634
3.14,-24.9436849,3.902049575
3.15,-25.37395731,3.392174032
3.16,-25.80307492,2.882840285
3.17,-26.23105984,2.374092192
3.18,-26.65795163,1.865979611
3.19,-27.08378707,1.358540334
3.2,-27.50858912,0.8518135268
3.21,-27.93240253,0.3458431665
3.22,-28.35526215,-0.1593402893
3.23,-28.77720918,-0.6636949243
3.24,-29.19828734,-1.167187642
3.25,-29.61853746,-1.669789149
3.26,-30.03800746,-2.171475625
3.27,-30.45674252,-2.672214739
3.28,-30.87478982,-3.17198333
3.29,-31.29220432,-3.67075834
3.3,-31.70904288,-4.168520476
3.31,-32.12535908,-4.665246359
3.32,-32.54121972,-5.160921452
3.33,-32.95668116,-5.655530268
3.34,-33.37180871,-6.149053442
3.35,-33.78666862,-6.641474784
3.36,-34.20132775,-7.132786494
3.37,-34.61585623,-7.622970651
3.38,-35.03033218,-8.112026882
3.39,-35.44483053,-8.599944911
3.4,-35.85943765,-9.086721928
3.41,-36.2742316,-9.572346259
3.42,-36.68929967,-10.05681718
3.43,-37.10473091,-10.54013591
3.44,-37.5206138,-11.02229905
3.45,-37.93704143,-11.50330494
3.46,-38.35411296,-11.98315837
3.47,-38.77192684,-12.46186069
3.48,-39.19059101,-12.93941563
3.49,-39.61020867,-13.41582772
3.5,-40.03088282,-13.89110495
3.51,-40.45273318,-14.3652567
3.52,-40.87587244,-14.83828488
3.53,-41.30040849,-15.31020345
3.54,-41.7264658,-15.78102744
3.55,-42.15416042,-16.25076201
3.56,-42.58361545,-16.719424
3.57,-43.0149534,-17.18702594
3.58,-43.44830336,-17.65359108
3.59,-43.88378485,-18.11913569
3.6,-44.32152793,-18.58367603
3.61,-44.76165958,-19.04723478
3.62,-45.20430698,-19.50982925
3.63,-45.64959491,-19.97149134
3.64,-46.09764554,-20.43223965
3.65,-46.5485853,-20.89210596
3.66,-47.00253468,-21.35111804
3.67,-47.45961121,-21.80930463
3.68,-47.91992887,-22.26669648
3.69,-48.38359787,-22.72333024
3.7,-48.85072743,-23.17924073
3.71,-49.3214059,-23.63447082
3.72,-49.79572475,-24.08906047
3.73,-50.27375891,-24.54304914
3.74,-50.75558511,-24.99649079
3.75,-51.24126045,-25.44942872
3.76,-51.73082517,-25.90191416
3.77,-52.22431316,-26.35400471
3.78,-52.72172375,-26.80575455
3.79,-53.22306324,-27.25721942
3.8,-53.7283043,-27.70846668
3.81,-54.23739731,-28.1595658
3.82,-54.75026678,-28.61058738
3.83,-55.26681459,-29.06161233
3.84,-55.78690267,-29.51272091
3.85,-56.31038073,-29.96398682
3.86,-56.83706206,-30.41550278
3.87,-57.36671111,-30.86736054
3.88,-57.89906971,-31.31966253
3.89,-58.43383918,-31.77250691
3.9,-58.9706739,-32.22600486
3.91,-59.50919483,-32.68027294
3.92,-60.0489822,-33.13542849
3.93,-60.58957968,-33.59160075
3.94,-61.13047556,-34.04892573
3.95,-61.67113219,-34.50754489
3.96,-62.21096114,-34.96760412
3.97,-62.74934956,-35.42925113
3.98,-63.28562764,-35.89264868
3.99,-63.81911331,-36.3579719
4,-64.34908636,-36.82539754
4.01,-64.87480727,-37.29511009
4.02,-65.39551913,-37.76730005
4.03,-65.91044672,-38.24216819
4.04,-66.41881715,-38.71993498
4.05,-66.91985717,-39.20081259
4.06,-67.41279954,-39.68503334
4.07,-67.89689117,-40.17283701
4.08,-68.37140456,-40.66446927
4.09,-68.83565907,-41.16018701
4.1,-69.28899035,-41.66026142
4.11,-69.73079521,-42.16496062
4.12,-70.16051316,-42.67457132
4.13,-70.57765886,-43.18938462
4.14,-70.98179337,-43.70969692
4.15,-71.37254636,-44.2358252
4.16,-71.74962086,-44.76807347
4.17,-72.11279125,-45.30676579
4.18,-72.46190925,-45.85221436
4.19,-72.7968905,-46.40475316
4.2,-73.11771691,-46.96469966
4.21,-73.4244436,-47.53237992
4.22,-73.71718141,-48.10811425
4.23,-73.99610675,-48.69221937
4.24,-74.26142896,-49.28499469
4.25,-74.51343576,-49.88673496
4.26,-74.75243091,-50.49770789
4.27,-74.97876667,-51.11817151
4.28,-75.19284392,-51.74834438
4.29,-75.39505666,-52.38841492
4.3,-75.58582368,-53.03853167
4.31,-75.76558839,-53.69880179
4.32,-75.93480832,-54.36927206
4.33,-76.09393366,-55.04992897
4.34,-76.24343369,-55.74067887
4.35,-76.38374551,-56.44135772
4.36,-76.51533983,-57.15170541
4.37,-76.63864247,-57.87135721
4.38,-76.75408204,-58.59984384
4.39,-76.86209782,-59.33657775
4.4,-76.96307393,-60.08083511
4.41,-77.05741382,-60.83175775
4.42,-77.14549189,-61.58834585
4.43,-77.22767065,-62.34944072
4.44,-77.30429069,-63.11374952
4.45,-77.37567852,-63.87980348
4.46,-77.44214609,-64.64601166
4.47,-77.50398121,-65.41062678
4.48,-77.56146571,-66.17177684
4.49,-77.61486496,-66.92747893
4.5,-77.66442319,-67.67565564
4.51,-77.71036995,-68.4141673
4.52,-77.75293407,-69.14082982
4.53,-77.79231327,-69.85347436
4.54,-77.82869857,-70.5499609
4.55,-77.86227457,-71.22820381
4.56,-77.89321257,-71.88625717
4.57,-77.9216687,-72.52230407
4.58,-77.94778603,-73.13472351
4.59,-77.97171449,-73.72209474
4.6,-77.99357116,-74.28324591
4.61,-78.01348362,-74.81725563
4.62,-78.03156522,-75.32348336
4.63,-78.0479106,-75.80154201
4.64,-78.06263034,-76.25131818
4.65,-78.07581358,-76.67294072
4.66,-78.08754057,-77.06679371
