t_ms,vm_soma_mV,vm_far_mV
2.82000,10.407532,34.290181
2.83000,9.923029,33.976692
2.84000,9.438310,33.657197
2.85000,8.953437,33.331804
2.86000,8.468469,33.000621
2.87000,7.983466,32.663759
2.88000,7.498483,32.321327
2.89000,7.013574,31.973439
2.90000,6.528792,31.620206
2.91000,6.044185,31.261743
2.92000,5.559804,30.898164
2.93000,5.075694,30.529586
2.94000,4.591900,30.156124
2.95000,4.108464,29.777896
2.96000,3.625427,29.395018
2.97000,3.142830,29.007608
2.98000,2.660708,28.615783
2.99000,2.179098,28.219663
3.00000,1.698034,27.819364
3.01000,1.217549,27.415003
3.02000,0.737672,27.006700
3.03000,0.258433,26.594570
3.04000,-0.220140,26.178730
3.05000,-0.698021,25.759297
3.06000,-1.175187,25.336386
3.07000,-1.651613,24.910110
3.08000,-2.127278,24.480585
3.09000,-2.602163,24.047923
3.10000,-3.076248,23.612235
3.11000,-3.549516,23.173633
3.12000,-4.021951,22.732225
3.13000,-4.493539,22.288120
3.14000,-4.964265,21.841425
3.15000,-5.434119,21.392245
3.16000,-5.903090,20.940683
3.17000,-6.371167,20.486844
3.18000,-6.838343,20.030827
3.19000,-7.304610,19.572731
3.20000,-7.769963,19.112654
3.21000,-8.234397,18.650693
3.22000,-8.697908,18.186940
3.23000,-9.160494,17.721489
3.24000,-9.622154,17.254430
3.25000,-10.082888,16.785850
3.26000,-10.542697,16.315839
3.27000,-11.001583,15.844479
3.28000,-11.459550,15.371853
3.29000,-11.916601,14.898044
3.30000,-12.372744,14.423130
3.31000,-12.827984,13.947188
3.32000,-13.282331,13.470293
3.33000,-13.735792,12.992518
3.34000,-14.188379,12.513935
3.35000,-14.640104,12.034613
3.36000,-15.090979,11.554619
3.37000,-15.541018,11.074018
3.38000,-15.990238,10.592873
3.39000,-16.438656,10.111247
3.40000,-16.886289,9.629197
3.41000,-17.333158,9.146783
3.42000,-17.779285,8.664059
3.43000,-18.224692,8.181079
3.44000,-18.669403,7.697895
3.45000,-19.113446,7.214556
3.46000,-19.556848,6.731110
3.47000,-19.999639,6.247605
3.48000,-20.441850,5.764083
3.49000,-20.883517,5.280587
3.50000,-21.324674,4.797158
3.51000,-21.765359,4.313835
3.52000,-22.205613,3.830654
3.53000,-22.645479,3.347652
3.54000,-23.085001,2.864862
3.55000,-23.524226,2.382315
3.56000,-23.963206,1.900043
3.57000,-24.401994,1.418073
3.58000,-24.840644,0.936433
3.59000,-25.279217,0.455148
3.60000,-25.717775,-0.025759
3.61000,-26.156382,-0.506264
3.62000,-26.595107,-0.986348
3.63000,-27.034024,-1.465992
3.64000,-27.473208,-1.945177
3.65000,-27.912738,-2.423888
3.66000,-28.352699,-2.902110
3.67000,-28.793179,-3.379831
3.68000,-29.234269,-3.857038
3.69000,-29.676066,-4.333721
3.70000,-30.118671,-4.809872
3.71000,-30.562190,-5.285483
3.72000,-31.006732,-5.760549
3.73000,-31.452414,-6.235065
3.74000,-31.899355,-6.709028
3.75000,-32.347682,-7.182436
3.76000,-32.797523,-7.655289
3.77000,-33.249016,-8.127589
3.78000,-33.702303,-8.599337
3.79000,-34.157528,-9.070539
3.80000,-34.614846,-9.541200
3.81000,-35.074415,-10.011327
3.82000,-35.536397,-10.480929
3.83000,-36.000963,-10.950015
3.84000,-36.468287,-11.418597
3.85000,-36.938550,-11.886689
3.86000,-37.411937,-12.354306
3.87000,-37.888639,-12.821464
3.88000,-38.368853,-13.288182
3.89000,-38.852779,-13.754480
3.90000,-39.340623,-14.220379
3.91000,-39.832595,-14.685905
3.92000,-40.328907,-15.151083
3.93000,-40.829775,-15.615941
3.94000,-41.335419,-16.080509
3.95000,-41.846058,-16.544821
3.96000,-42.361913,-17.008911
3.97000,-42.883205,-17.472817
3.98000,-43.410153,-17.936580
3.99000,-43.942972,-18.400242
4.00000,-44.481875,-18.863849
4.01000,-45.027066,-19.327452
4.02000,-45.578743,-19.791102
4.03000,-46.137093,-20.254855
4.04000,-46.702288,-20.718771
4.05000,-47.274486,-21.182914
4.06000,-47.853826,-21.647352
4.07000,-48.440425,-22.112156
4.08000,-49.034374,-22.577403
4.09000,-49.635732,-23.043176
4.10000,-50.244528,-23.509560
4.11000,-50.860749,-23.976648
4.12000,-51.484340,-24.444538
4.13000,-52.115196,-24.913335
4.14000,-52.753158,-25.383148
4.15000,-53.398011,-25.854096
4.16000,-54.049472,-26.326302
4.17000,-54.707188,-26.799901
4.18000,-55.370733,-27.275031
4.19000,-56.039599,-27.751843
4.20000,-56.713195,-28.230494
4.21000,-57.390842,-28.711151
4.22000,-58.071771,-29.193992
4.23000,-58.755122,-29.679205
4.24000,-59.439940,-30.166990
4.25000,-60.125186,-30.657556
4.26000,-60.809729,-31.151127
4.27000,-61.492360,-31.647938
4.28000,-62.171798,-32.148239
4.29000,-62.846697,-32.652293
4.30000,-63.515662,-33.160377
4.31000,-64.177263,-33.672784
4.32000,-64.830049,-34.189823
4.33000,-65.472571,-34.711819
4.34000,-66.103397,-35.239114
4.35000,-66.721135,-35.772069
4.36000,-67.324455,-36.311059
4.37000,-67.912104,-36.856482
4.38000,-68.482930,-37.408751
4.39000,-69.035899,-37.968299
4.40000,-69.570104,-38.535580
4.41000,-70.084783,-39.111062
4.42000,-70.579325,-39.695235
4.43000,-71.053272,-40.288605
4.44000,-71.506325,-40.891696
4.45000,-71.938338,-41.505045
4.46000,-72.349312,-42.129205
4.47000,-72.739391,-42.764738
4.48000,-73.108843,-43.412217
4.49000,-73.458056,-44.072216
4.50000,-73.787515,-44.745314
4.51000,-74.097795,-45.432080
4.52000,-74.389542,-46.133075
4.53000,-74.663456,-46.848840
4.54000,-74.920281,-47.579887
4.55000,-75.160791,-48.326692
4.56000,-75.385776,-49.089678
4.57000,-75.596032,-49.869207
4.58000,-75.792354,-50.665559
4.59000,-75.975524,-51.478921
4.60000,-76.146307,-52.309361
4.61000,-76.305447,-53.156812
4.62000,-76.453661,-54.021048
4.63000,-76.591634,-54.901660
4.64000,-76.720021,-55.798031
4.65000,-76.839445,-56.709312
4.66000,-76.950494,-57.634397
4.67000,-77.053721,-58.571898
4.68000,-77.149649,-59.520128
4.69000,-77.238765,-60.477085
4.70000,-77.321528,-61.440442
4.71000,-77.398363,-62.407546
4.72000,-77.469670,-63.375429
4.73000,-77.535817,-64.340824
4.74000,-77.597151,-65.300206
4.75000,-77.653990,-66.249838
4.76000,-77.706633,-67.185832
4.77000,-77.755356,-68.104228
4.78000,-77.800414,-69.001082
4.79000,-77.842044,-69.872562
4.80000,-77.880466,-70.715043
4.81000,-77.915885,-71.525210
4.82000,-77.948488,-72.300144
4.83000,-77.978452,-73.037399
4.84000,-78.005938,-73.735057
4.85000,-78.031097,-74.391766
4.86000,-78.054068,-75.006752
4.87000,-78.074980,-75.579808
4.88000,-78.093954,-76.111260
4.89000,-78.111102,-76.601917
4.90000,-78.126526,-77.053010
4.91000,-78.140322,-77.466115
4.92000,-78.152581,-77.843083
4.93000,-78.163386,-78.185962
4.94000,-78.172814,-78.496928
4.95000,-78.180937,-78.778222
4.96000,-78.187824,-79.032097
4.97000,-78.193537,-79.260769
4.98000,-78.198136,-79.466389
4.99000,-78.201677,-79.651009
5.00000,-78.204211,-79.816569
5.01000,-78.205788,-79.964880
5.02000,-78.206454,-80.097625
5.03000,-78.206252,-80.216350
5.04000,-78.205225,-80.322471
5.05000,-78.203410,-80.417278
5.06000,-78.200845,-80.501938
5.07000,-78.197565,-80.577507
5.08000,-78.193603,-80.644936
5.09000,-78.188992,-80.705077
5.10000,-78.183761,-80.758696
5.11000,-78.177939,-80.806478
5.12000,-78.171553,-80.849035
5.13000,-78.164630,-80.886916
5.14000,-78.157195,-80.920607
5.15000,-78.149271,-80.950544
5.16000,-78.140882,-80.977117
5.17000,-78.132048,-81.000671
5.18000,-78.122791,-81.021517
5.19000,-78.113131,-81.039929
5.20000,-78.103086,-81.056154
5.21000,-78.092674,-81.070412
5.22000,-78.081912,-81.082900
5.23000,-78.070817,-81.093791
5.24000,-78.059405,-81.103244
5.25000,-78.047690,-81.111399
5.26000,-78.035685,-81.118380
5.27000,-78.023406,-81.124302
5.28000,-78.010864,-81.129263
5.29000,-77.998072,-81.133355
5.30000,-77.985040,-81.136659
5.31000,-77.971781,-81.139248
5.32000,-77.958304,-81.141186
5.33000,-77.944619,-81.142534
5.34000,-77.930735,-81.143343
5.35000,-77.916662,-81.143662
5.36000,-77.902407,-81.143533
5.37000,-77.887978,-81.142995
5.38000,-77.873383,-81.142083
5.39000,-77.858630,-81.140829
5.40000,-77.843723,-81.139261
5.41000,-77.828671,-81.137404
5.42000,-77.813478,-81.135282
5.43000,-77.798150,-81.132916
5.44000,-77.782694,-81.130325
5.45000,-77.767112,-81.127526
5.46000,-77.751411,-81.124536
5.47000,-77.735595,-81.121367
5.48000,-77.719667,-81.118033
5.49000,-77.703632,-81.114545
5.50000,-77.687494,-81.110915
5.51000,-77.671255,-81.107151
5.52000,-77.654920,-81.103263
5.53000,-77.638491,-81.099258
5.54000,-77.621971,-81.095144
5.55000,-77.605363,-81.090928
5.56000,-77.588670,-81.086614
5.57000,-77.571893,-81.082209
5.58000,-77.555035,-81.077718
5.59000,-77.538099,-81.073145
5.60000,-77.521086,-81.068494
5.61000,-77.503998,-81.063769
5.62000,-77.486837,-81.058974
5.63000,-77.469604,-81.054112
5.64000,-77.452302,-81.049184
5.65000,-77.434931,-81.044195
5.66000,-77.417493,-81.039147
5.67000,-77.399990,-81.034041
5.68000,-77.382422,-81.028879
5.69000,-77.364791,-81.023664
5.70000,-77.347098,-81.018397
5.71000,-77.329344,-81.013080
5.72000,-77.311529,-81.007713
5.73000,-77.293655,-81.002299
5.74000,-77.275723,-80.996838
5.75000,-77.257733,-80.991331
5.76000,-77.239686,-80.985780
5.77000,-77.221583,-80.980184
5.78000,-77.203425,-80.974546
5.79000,-77.185212,-80.968865
5.80000,-77.166944,-80.963143
5.81000,-77.148623,-80.957379
5.82000,-77.130249,-80.951574
5.83000,-77.111822,-80.945730
5.84000,-77.093343,-80.939846
5.85000,-77.074813,-80.933922
5.86000,-77.056231,-80.927960
5.87000,-77.037599,-80.921958
5.88000,-77.018916,-80.915919
5.89000,-77.000183,-80.909841
5.90000,-76.981400,-80.903725
5.91000,-76.962568,-80.897571
5.92000,-76.943687,-80.891380
5.93000,-76.924757,-80.885152
5.94000,-76.905779,-80.878886
5.95000,-76.886752,-80.872583
5.96000,-76.867678,-80.866243
5.97000,-76.848555,-80.859865
5.98000,-76.829386,-80.853451
5.99000,-76.810169,-80.847000
6.00000,-76.790905,-80.840512
6.01000,-76.771595,-80.833987
6.02000,-76.752238,-80.827425
6.03000,-76.732834,-80.820826
6.04000,-76.713385,-80.814191
6.05000,-76.693889,-80.807518
6.06000,-76.674348,-80.800809
6.07000,-76.654761,-80.794062
6.08000,-76.635128,-80.787279
6.09000,-76.615450,-80.780458
6.10000,-76.595727,-80.773600
6.11000,-76.575959,-80.766705
6.12000,-76.556146,-80.759773
6.13000,-76.536288,-80.752804
6.14000,-76.516385,-80.745797
6.15000,-76.496438,-80.738753
6.16000,-76.476447,-80.731671
6.17000,-76.456412,-80.724551
6.18000,-76.436332,-80.717394
6.19000,-76.416209,-80.710199
6.20000,-76.396041,-80.702966
6.21000,-76.375830,-80.695695
6.22000,-76.355575,-80.688386
6.23000,-76.335277,-80.681039
6.24000,-76.314936,-80.673653
6.25000,-76.294551,-80.666229
6.26000,-76.274123,-80.658767
6.27000,-76.253652,-80.651266
6.28000,-76.233138,-80.643726
6.29000,-76.212581,-80.636148
6.30000,-76.191982,-80.628530
6.31000,-76.171340,-80.620873
6.32000,-76.150655,-80.613178
6.33000,-76.129929,-80.605443
6.34000,-76.109159,-80.597668
6.35000,-76.088348,-80.589854
6.36000,-76.067495,-80.582001
6.37000,-76.046599,-80.574108
6.38000,-76.025662,-80.566174
6.39000,-76.004683,-80.558201
6.40000,-75.983662,-80.550188
6.41000,-75.962600,-80.542135
6.42000,-75.941497,-80.534041
6.43000,-75.920352,-80.525907
6.44000,-75.899166,-80.517733
6.45000,-75.877938,-80.509517
6.46000,-75.856670,-80.501261
6.47000,-75.835361,-80.492964
6.48000,-75.814011,-80.484626
6.49000,-75.792620,-80.476247
6.50000,-75.771189,-80.467827
6.51000,-75.749717,-80.459365
6.52000,-75.728205,-80.450862
6.53000,-75.706653,-80.442317
6.54000,-75.685060,-80.433731
6.55000,-75.663427,-80.425103
6.56000,-75.641755,-80.416433
6.57000,-75.620042,-80.407720
6.58000,-75.598290,-80.398966
6.59000,-75.576498,-80.390169
6.60000,-75.554667,-80.381330
6.61000,-75.532796,-80.372449
6.62000,-75.510886,-80.363525
6.63000,-75.488937,-80.354558
6.64000,-75.466949,-80.345549
6.65000,-75.444922,-80.336496
6.66000,-75.422856,-80.327400
6.67000,-75.400751,-80.318262
6.68000,-75.378607,-80.309080
6.69000,-75.356426,-80.299854
6.70000,-75.334205,-80.290586
6.71000,-75.311947,-80.281273
6.72000,-75.289650,-80.271917
6.73000,-75.267315,-80.262517
6.74000,-75.244943,-80.253074
6.75000,-75.222532,-80.243586
6.76000,-75.200084,-80.234054
6.77000,-75.177599,-80.224478
6.78000,-75.155076,-80.214858
6.79000,-75.132516,-80.205193
6.80000,-75.109918,-80.195484
6.81000,-75.087283,-80.185730
6.82000,-75.064612,-80.175932
6.83000,-75.041904,-80.166089
6.84000,-75.019159,-80.156201
6.85000,-74.996377,-80.146268
6.86000,-74.973559,-80.136290
6.87000,-74.950705,-80.126267
6.88000,-74.927814,-80.116198
6.89000,-74.904888,-80.106085
6.90000,-74.881925,-80.095926
6.91000,-74.858927,-80.085721
6.92000,-74.835893,-80.075471
6.93000,-74.812824,-80.065175
6.94000,-74.789719,-80.054833
6.95000,-74.766579,-80.044446
6.96000,-74.743403,-80.034013
6.97000,-74.720193,-80.023533
6.98000,-74.696948,-80.013008
6.99000,-74.673668,-80.002436
7.00000,-74.650354,-79.991818
7.01000,-74.627005,-79.981154
7.02000,-74.603622,-79.970444
7.03000,-74.580204,-79.959687
7.04000,-74.556753,-79.948883
7.05000,-74.533267,-79.938033
7.06000,-74.509748,-79.927136
7.07000,-74.486195,-79.916193
7.08000,-74.462609,-79.905202
7.09000,-74.438990,-79.894165
7.10000,-74.415337,-79.883081
7.11000,-74.391651,-79.871950
7.12000,-74.367932,-79.860771
7.13000,-74.344181,-79.849546
7.14000,-74.320396,-79.838273
7.15000,-74.296580,-79.826953
7.16000,-74.272731,-79.815586
7.17000,-74.248849,-79.804171
7.18000,-74.224936,-79.792709
7.19000,-74.200991,-79.781200
7.20000,-74.177014,-79.769643
7.21000,-74.153006,-79.758038
7.22000,-74.128966,-79.746385
7.23000,-74.104895,-79.734685
7.24000,-74.080792,-79.722938
7.25000,-74.056659,-79.711142
7.26000,-74.032495,-79.699299
7.27000,-74.008300,-79.687407
7.28000,-73.984074,-79.675468
7.29000,-73.959818,-79.663481
7.30000,-73.935532,-79.651445
7.31000,-73.911216,-79.639362
7.32000,-73.886870,-79.627231
7.33000,-73.862495,-79.615051
7.34000,-73.838089,-79.602824
7.35000,-73.813654,-79.590548
7.36000,-73.789190,-79.578224
7.37000,-73.764697,-79.565851
7.38000,-73.740175,-79.553431
7.39000,-73.715624,-79.540962
7.40000,-73.691044,-79.528445
7.41000,-73.666436,-79.515879
7.42000,-73.641799,-79.503265
7.43000,-73.617135,-79.490603
7.44000,-73.592442,-79.477892
7.45000,-73.567721,-79.465133
7.46000,-73.542973,-79.452325
7.47000,-73.518197,-79.439469
7.48000,-73.493394,-79.426564
7.49000,-73.468564,-79.413611
7.50000,-73.443707,-79.400609
7.51000,-73.418823,-79.387559
7.52000,-73.393912,-79.374460
7.53000,-73.368975,-79.361312
7.54000,-73.344011,-79.348116
7.55000,-73.319021,-79.334872
7.56000,-73.294005,-79.321579
7.57000,-73.268963,-79.308237
7.58000,-73.243896,-79.294847
7.59000,-73.218803,-79.281408
7.60000,-73.193685,-79.267921
7.61000,-73.168541,-79.254385
7.62000,-73.143373,-79.240801
7.63000,-73.118180,-79.227168
7.64000,-73.092962,-79.213487
